process,category,step,documents_required,fees,time,details
Aadhaar Card (New Enrollment),Identity,1. Visit nearest Aadhaar Enrollment Centre,No documents required for enrollment,Free,30 minutes,Find nearest center at uidai.gov.in or on Aadhaar app
Aadhaar Card (New Enrollment),Identity,2. Fill Aadhaar Enrollment Form,"Proof of Identity (POI): Passport/PAN card/Voter ID/Driving Licence. Proof of Address (POA): Passport/Bank Statement/Utility Bill/Ration Card. Proof of Date of Birth (DOB): Birth Certificate/Passport/PAN card",Free,On the spot,Form is available free at enrollment centre
Aadhaar Card (New Enrollment),Identity,3. Biometric capture,Original documents for verification,Free,10 minutes,Fingerprints and iris scan will be taken
Aadhaar Card (New Enrollment),Identity,4. Receive acknowledgement slip,None,Free,Immediate,Contains 14-digit Enrollment ID to track status
Aadhaar Card (New Enrollment),Identity,5. Receive Aadhaar,None,Free,90 days,Aadhaar sent by post or download from uidai.gov.in using enrollment ID
Voter ID (EPIC) New Registration,Identity,1. Apply Online or Offline,None,Free,10 minutes,Online: voterportal.eci.gov.in or offline at BLO/ERO office
Voter ID (EPIC) New Registration,Identity,2. Fill Form 6,"Age proof (DOB certificate/Passport/PAN/Driving Licence/Aadhaar). Address proof (Aadhaar/Passport/Bank Passbook/Utility Bill). Passport size photograph (2 copies)",Free,15 minutes,Must be 18 years or above as on January 1 of the qualifying year
Voter ID (EPIC) New Registration,Identity,3. Submit application,Original documents for verification,Free,Same day,Submit at Electoral Registration Officer or upload online
Voter ID (EPIC) New Registration,Identity,4. Verification by BLO,None,Free,7-30 days,Booth Level Officer visits for physical verification
Voter ID (EPIC) New Registration,Identity,5. Receive Voter ID,None,Free,30-45 days,EPIC card sent by post or download e-EPIC from voterportal.eci.gov.in
Driving Licence (Learner),Transport,1. Apply online at Parivahan portal,None,Free,10 minutes,Visit parivahan.gov.in and select your state RTO
Driving Licence (Learner),Transport,2. Fill Form 1 and Form 2,"Age proof (DOB certificate/Aadhaar/Passport). Address proof (Aadhaar/Passport/Utility Bill). Passport size photographs (3 copies). Medical certificate Form 1A for commercial licence",Rs 200 (approx),15 minutes,Minimum age 16 for gearless vehicles 18 for geared vehicles
Driving Licence (Learner),Transport,3. Pay fee and book slot,None,Rs 200,Online,Fee paid online at Parivahan portal
Driving Licence (Learner),Transport,4. Appear for learner test,Learner licence application receipt and ID proof,Rs 50,30 minutes,Computer-based test of 15 questions at RTO. Need to score at least 9 correct
Driving Licence (Learner),Transport,5. Receive Learner Licence,None,Included,Same day,Valid for 6 months. Must practice for minimum 30 days before applying for permanent licence
Driving Licence (Permanent),Transport,1. Apply after 30 days of learner licence,Learner Licence,None,10 minutes,Apply online at parivahan.gov.in or visit RTO
Driving Licence (Permanent),Transport,2. Book driving test slot,"Learner Licence. Passport size photographs (3). Address and age proof",Rs 300 (approx),Online,Book slot at least 30 days after learner licence issue date
Driving Licence (Permanent),Transport,3. Appear for driving test,Learner Licence and all original documents,Included,30 minutes,Practical driving test conducted at RTO by licensing officer
Driving Licence (Permanent),Transport,4. Receive Driving Licence,None,Included,7-30 days,DL sent by post to registered address or download DigiLocker
FIR Filing,Legal,1. Visit nearest Police Station,None,Free,Immediate,Go to police station having jurisdiction over the area where offence occurred
FIR Filing,Legal,2. Give complaint orally or in writing,"Written complaint signed by complainant. Identity proof of complainant (Aadhaar/Voter ID)",Free,15-30 minutes,Police must register FIR for cognizable offences. Cannot refuse to register FIR
FIR Filing,Legal,3. FIR is registered,None,Free,Immediate,FIR assigned a unique number. Copy must be given to complainant FREE of charge
FIR Filing,Legal,4. Receive free copy of FIR,None,Free,Immediate,Section 154(2) CrPC mandates free copy of FIR to complainant. Police cannot deny this
FIR Filing,Legal,5. If police refuse to register FIR,"Written complaint to Superintendent of Police (SP). Or file complaint before Magistrate under Section 156(3) CrPC",Free,Variable,SP must either investigate or order registration. Magistrate can direct police to register FIR
FIR Filing,Legal,6. Online FIR,None,Free,10 minutes,Many states allow online FIR for certain offences like theft/loss of documents at respective state police portal
Bail Application,Legal,1. Hire a lawyer or apply yourself,None,Variable,Immediate,Bail can be applied by accused or their lawyer at appropriate court
Bail Application,Legal,2. Types of Bail,"For bailable offences: Application to police officer or Magistrate. For non-bailable offences: Application to Sessions Court or High Court. Anticipatory bail: Application to Sessions Court or High Court before arrest",Lawyer fees vary,Variable,Bailable offences: Bail is a right. Non-bailable: Bail is discretionary
Bail Application,Legal,3. Documents for bail application,"Bail application drafted by lawyer. FIR copy. Arrest memo. Identity and address proof of accused. Surety documents if cash bail. Character certificate if needed",Court fees Rs 50-500,1-7 days,Court considers nature of offence criminal history flight risk and likelihood of tampering evidence
Bail Application,Legal,4. Surety/Bond requirement,"Surety: Person who guarantees accused will appear in court. Property documents or cash deposit may be required. Personal bond (PR bond) for minor offences",Variable,Same day as order,Amount of bail bond fixed by court based on gravity of offence
Bail Application,Legal,5. Bail granted,Bail order copy,None,Immediate after order,Accused released on furnishing bail bond. Must comply with all bail conditions including appearing for all hearings
RTI Application,Legal,1. Identify the Public Authority,None,Free,10 minutes,Identify which government department/ministry has the information you need
RTI Application,Legal,2. Write RTI Application,"RTI application addressed to Public Information Officer (PIO). Clearly mention information required. No reason needs to be given for seeking information. Application in English Hindi or local official language",Rs 10 application fee,30 minutes,Keep application simple and specific. Vague applications may be rejected
RTI Application,Legal,3. Pay Application Fee,"Rs 10 by cash/demand draft/postal order/online. BPL card holders are exempt from fee. No fee for life and liberty related information",Rs 10,Immediate,Additional fee of Rs 2 per page for documents provided
RTI Application,Legal,4. Submit Application,RTI application with proof of fee payment,Rs 10,Same day,Submit to PIO of concerned department by post in person or online at rtionline.gov.in for central government
RTI Application,Legal,5. Receive Information,None,Free,30 days,PIO must provide information within 30 days. For life and liberty matters within 48 hours
RTI Application,Legal,6. First Appeal if no response,"First Appeal application to First Appellate Authority (FAA). Copy of original RTI application. Copy of reply if any received",Free,30-45 days,If PIO does not respond within 30 days or response is unsatisfactory file first appeal within 30 days of deadline
RTI Application,Legal,7. Second Appeal to CIC/SIC,"Second Appeal application to Central/State Information Commission. Copies of RTI application first appeal and replies",Free,Variable,File within 90 days of first appeal order. CIC/SIC can impose penalty of Rs 250 per day up to Rs 25000 on PIO for delay
Property Registration,Property,1. Verify property documents,"Title deed/Sale deed. Encumbrance certificate from Sub-Registrar office. Property tax receipts. Approved building plan. NOC from society/builder if applicable",Rs 200-500 for EC,1-7 days,Check for any existing loans disputes or encumbrances on property
Property Registration,Property,2. Prepare Sale Deed,None,Lawyer fees Rs 5000-20000,3-7 days,Sale deed drafted by lawyer mentioning property details buyer seller consideration amount and terms
Property Registration,Property,3. Pay Stamp Duty,"Sale deed. Property valuation certificate. Identity proofs of buyer and seller",5-8% of property value (varies by state),Same day,Stamp duty paid online or at bank. Karnataka: 5% Delhi: 6% Maharashtra: 5-6% UP: 7%
Property Registration,Property,4. Visit Sub-Registrar Office,"Original sale deed on stamp paper. Identity proof of buyer seller and two witnesses (Aadhaar/PAN). Passport size photographs of buyer and seller. Property documents. Stamp duty payment receipt. Registration fee payment receipt",1% of property value (max Rs 30000 in most states),2-3 hours,Both buyer and seller must be present with two witnesses. Biometric verification done
Property Registration,Property,5. Document registered,None,Included,Same day,Registered document given back same day. Original title deed kept on record
Property Registration,Property,6. Mutation of property,Registered sale deed,Rs 100-500,30-90 days,Apply for mutation at municipal office to update property records in new owners name
Marriage Registration,Personal,1. Check eligibility,"Bride minimum age 18 years. Groom minimum age 21 years. Both must be unmarried or legally divorced/widowed",None,Immediate,Hindu Marriage Act for Hindus. Special Marriage Act for inter-religion marriages. Muslim personal law for Muslims
Marriage Registration,Personal,2. Apply online or offline,None,Free,10 minutes,Online at state government portal or offline at Sub-Divisional Magistrate SDM office or municipal office
Marriage Registration,Personal,3. Documents required,"Marriage application form. Age proof of bride and groom (Birth certificate/Passport/SSC marksheet). Address proof of bride and groom (Aadhaar/Passport). Identity proof (Aadhaar/PAN/Passport). Marriage photograph. Wedding invitation card. Affidavit of marital status. Two passport photos each of bride and groom. Marriage solemnization proof (pandit certificate/nikahnama/church certificate)",Rs 100-1000 (varies by state),30 minutes,Under Hindu Marriage Act registration must be done within 30 days of marriage in some states
Marriage Registration,Personal,4. Witnesses required,"Two witnesses with identity and address proof (Aadhaar/Voter ID). Witnesses must have attended the marriage",None,15 minutes,Under Special Marriage Act 30-day notice period required and marriage officer publishes notice
Marriage Registration,Personal,5. Verification and appointment,Original documents for verification,Included,7-30 days,Documents verified by registrar. Appointment given for registration
Marriage Registration,Personal,6. Receive Marriage Certificate,None,Included,Same day as appointment,Marriage certificate issued on the day of registration. Valid legal document for all purposes
Birth Certificate,Civil,1. Report birth within 21 days,None,Free,Immediate,Birth must be reported to municipal corporation/gram panchayat within 21 days of birth
Birth Certificate,Civil,2. Apply for birth certificate,"Hospital discharge summary/birth proof. Parents Aadhaar card. Parents marriage certificate. Informants identity proof",Free if within 21 days. Rs 50-100 after that,15-30 minutes,Apply at local municipal corporation urban local body or gram panchayat
Birth Certificate,Civil,3. Delayed registration,"If more than 21 days: Affidavit from parents. If more than 1 year: Order from First Class Magistrate required. Hospital records. Vaccination records",Rs 50-500 + court fees for late registration,Variable,Magistrate order required for births not registered within 1 year
Birth Certificate,Civil,4. Receive Birth Certificate,None,Free,7-30 days,Certificate issued by Registrar of Births and Deaths. Available online in many states
Death Certificate,Civil,1. Report death within 21 days,"Death should be reported by head of household or hospital/jail/plantation where death occurred",Free,Immediate,Report to local municipal corporation/gram panchayat within 21 days
Death Certificate,Civil,2. Apply for death certificate,"Hospital death summary or post-mortem report. Deceased persons Aadhaar card. Informants identity proof. Address proof",Free if within 21 days,15-30 minutes,Apply at municipal corporation or gram panchayat office
Death Certificate,Civil,3. Receive Death Certificate,None,Free,7-30 days,Required for insurance claims property transfer pension and other legal purposes
Death Certificate,Civil,4. Use of Death Certificate,"Insurance claims. Bank account closure. Property inheritance. Pension/gratuity claims. Cancel Aadhaar and Voter ID of deceased",None,Variable,Must inform Aadhaar (UIDAI) Voter registration authority bank and other institutions